,2015,2016,2017,2018,2019
143,Sun Daze,Home Alone Tonight,Both,Mi Gente,Look Back At It
144,Rude,Best Friend,Party,Let Me Go,Envy Me
145,Night Changes,Stay A Little Longer,You Was Right,1-800-273-8255,Swervin
146,Don't Tell 'Em,Adventure Of A Lifetime,In The Name Of Love,Bank Account,First Off
147,Black Widow,Locked Away,Deja Vu,Attention,Burning Man
148,Sledgehammer,Back To Sleep,Used To This,Yours,Sixteen
149,Blame,Out Of The Woods,No Heart,Unforgettable,Natural
150,Lonely Tonight,Focus,A Guy With A Girl,Outside Today,Girl Like You
151,Stuck On A Feeling,Irresistible,Chantaje,Stir Fry,Be Alright
152,Take Your Time,Do It Like Me,I Got You,Pills And Automobiles,This Is It
153,FourFiveSeconds,Get Ugly,HandClap,All The Stars,Nothing Breaks Like A Heart
154,Make Me Wanna,Oui,Star Of The Show,Good Old Days,Undecided
155,Outside,I Love This Life,How Far I'll Go,Mine,This Feeling
156,Try Me,Backroad Song,Dirt On My Boots,Nowadays,Jumpin On A Jet
157,Feeling Myself,Sugar,Dirty Laundry,Pick It Up,Good Girl
158,Often,I Got The Boy,Selfish,Greatest Love Story,Uproar
159,Drinking Class,Heartbeat,Alone,Written In The Sand,Best Shot
160,Just Gettin' Started,Back Up,Swang,No Smoke,Ella Quiere Beber
161,Shotgun Rider,2 Phones,Make Me (Cry),Losing Sleep,Calling My Spirit
162,I Bet My Life,Big Rings,Redbone,Like I Loved You,Armed And Dangerous
163,Shut Up And Dance,Beautiful Drug,Wanna Be That Song,Five More Minutes,Arms Around You
164,Ayo,Break On Me.,Moves,Sick Boy,Never Stop
165,Mean To Me,The Fix,Seein' Red,This Is Me,Thotiana
166,Heartbeat Song,Sorry Not Sorry,How Far I'll Go,Heaven,You
167,Like A Cowboy,Dessert,Fresh Eyes,Echame La Culpa,Secreto
168,Til It's Gone,Drunk On Your Love,Play That Song,Rubbin Off The Paint,No Stylist
169,Apparently,You Should Be Here,Location,You Broke Up With Me,What Makes You Country
170,Truffle Butter,Dibs,Goosebumps,Supplies,Mixed Personalities
171,Beg For It,Emperor's New Clothes,OTW,Codeine Dreaming,Consequences
172,Throw Sum Mo,$ave Dat Money,Sneakin',Betrayed,Millionaire
173,Lonely Eyes,Gonna Know We Were Here,Kill A Word,Red Roses,Yosemite
174,God Made Girls,I'll Show You,Sober Saturday Night,One Foot,Saturday Nights
175,All About It,Really Really,Think A Little Less,La Modelo,Temptation
176,Ain't Worth The Whiskey,WTF (Where They From),Not Afraid Anymore,Rewrite The Stars,Ruin My Life
177,Perfect Storm,Confession,Red Opps,Candy Paint,Take It From Me
178,L.A.LOVE (la la),I Took A Pill In Ibiza,Call On Me,Tell Me You Love Me,Rocket Ship
179,Homegrown Honey,Nobody To Blame,Water,Round Here Buzz,Startender
180,Homegrown,Hollow,Congratulations,All On Me,Pure Water
181,Worth It,Walking On A Dream,80s Mercedes,No Name,Lovely
182,Take It On Back,Good To Be Alive (Hallelujah),Song For Another Time,King's Dead,F&N
183,Steal My Girl,Bang My Head,Neighbors,MIC Drop,Down To The Honkytonk
184,Uma Thurman,Mr. Misunderstood,Way Down We Go,Broken Halos,Body
185,Trap Queen,Let It Go,Timeless,Kooda,Love Someone
186,Body Language,New Americana,Sex With Me,Legends,When The Party's Over
187,Geronimo,Watch Out,Despacito,Wait,Nights Like This
188,Post To Be,Victorious,The Weekend,Best Friend,Pure Cocaine
189,Say You Do,We Went,Parachute,Ice Tray,Electricity
190,Not For Long,Play No Games,You're Welcome,Beautiful Trauma,On My Way To You
191,What We Ain't Got,Death Of A Bachelor,Today,IDGAF,Make It Sweet
192,The Body,Lay It All On Me,All We Know,Corazon,Love Wins
193,Somebody,Right Hand,Say It,Mayores,Talk To Me
194,Can't Stop Dancin',Middle,Not Nice,The Greatest Show,Murder On My Mind
195,Immortals,7 Years,Just Hold On,Never Enough,GIRL
196,Dangerous,Come Get Her,Beibs In The Trap,My Dawg,Roses
197,A Guy Walks Into A Bar,Lean & Dabb,Black,I'll Name The Dogs,Face My Fears
198,Slow Motion,Ginza,Down,Rock,Imagine
199,***Flawless,Acquainted,My Sh*t,Female,Call The Coroner
200,Uptown Funk!,Work,Shape Of You,God's Plan,7 Rings
201,Thinking Out Loud,Love Yourself,I Don't Wanna Live Forever (Fifty Shades Darker),Perfect,Without Me
202,Love Me Like You Do,Stressed Out,Bad And Boujee,Finesse,Sunflower (Spider-Man: Into The Spider-Verse)
203,Sugar,Sorry,Chained To The Rhythm,Havana,"Thank U, Next"
204,Take Me To Church,My House,Closer,Look Alive,Please Me
205,FourFiveSeconds,Pillowtalk,Bad Things,Rockstar,Happier
206,Blank Space,Hello,That's What I Like,All The Stars,Sicko Mode
207,Style,"Me, Myself & I",Love On The Brain,Meant To Be,"Break Up With Your Girlfriend, I'm Bored"
208,Earned It (Fifty Shades Of Grey),Roses,I Feel It Coming,Pray For Me,High Hopes
209,Lips Are Movin,Cake By The Ocean,Bounce Back,Stir Fry,Wow.
210,Time Of Our Lives,Hands To Myself,Paris,New Rules,Middle Child
211,I'm Not The Only One,One Call Away,Fake Love,Let You Down,Eastside
212,I Don't Mind,Stitches,24K Magic,The Middle,Thotiana
213,Centuries,When We Were Young,Starboy,Him & I,Murder On My Mind
214,Shake It Off,In The Night,Scars To Your Beautiful,Love.,Going Bad
215,Only,Don't,Black Beatles,Thunder,Money
216,Truffle Butter,Same Old Love,Don't Wanna Know,Bad At Love,A Lot
217,Jealous,Down In The DM,Million Reasons,Mine,Drip Too Hard
218,All About That Bass,Hotline Bling,Mercy,I Fall Apart,Girls Like You
219,Stay With Me,7 Years,iSpy,Lights Down Low,Better
220,Ghost,Here,Caroline,How Long,Shallow
221,She Knows,Uptown Funk!,Rockabye,MotorSport,ZEZE
222,Prayer In C,Jumpman,Say You Won't Let Go,King's Dead,Beautiful Crazy
223,I Don't F**k With You,I Took A Pill In Ibiza,Side To Side,Shape Of You,MIA
224,11-Jul,What Do You Mean?,Can't Stop The Feeling!,Gummo,Dancing With A Stranger
225,Energy,Hide Away,All Time Low,Bartier Cardi,Youngblood
226,Somebody,The Hills,Body Like A Back Road,No Limit,Robbery
227,I Bet My Life,Adventure Of A Lifetime,Let Me Love You,Never Be The Same,Better Now
228,G.D.F.R.,Like I'm Gonna Lose You,T-Shirt,Wolves,Sweet But Psycho
229,Chandelier,Say It,Down,Say Something,Be Alright
230,Riptide,Summer Sixteen,Water Under The Bridge,Young Dumb & Broke,Tequila
231,Ayo,Can't Feel My Face,Heathens,Feel It Still,Bury A Friend
232,Love Me Harder,Ex's & Oh's,Congratulations,Bodak Yellow (Money Moves),I Like It
233,One Last Time,679,Issues,River,You Say
234,Trap Queen,Die A Happy Man,Better Man,Outside Today,Leave Me Alone
235,CoCo,Antidote,Treat You Better,Marry Me,Wake Up In The Sky
236,Animals,I Know What You Did Last Summer,Broccoli,Sky Walker,Close To Me
237,No Type,Let It Go,This Town,Plain Jane,Baby Shark
238,Take Your Time,White Iverson,Dirt On My Boots,Wait,Look Back At It
239,Bang Bang,2 Phones,Starving,Ric Flair Drip,Mo Bamba
240,Elastic Heart,Stand By You,Party,Sorry Not Sorry,Lucid Dreams
241,Chains,Heartbeat,Cold,You Make It Easy,Envy Me
242,Outside,Exchange,I Got You,Love Lies,Swervin
243,The Heart Wants What It Wants,See You Again,Location,Five More Minutes,Taki Taki
244,Make Me Wanna,Oui,Moves,Too Good At Goodbyes,This Is It
245,Heartbeat Song,Wildest Dreams,Make Me (Cry),New Freezer,NASA
246,Lonely Tonight,Break Up In A Small Town,Sober Saturday Night,Gucci Gang,Backin' It Up
247,Shut Up And Dance,On My Mind,Juju On That Beat (TZ Anthem),Lemon,Needy
248,Tuesday,Lean On,Both,I Get The Bag,Red Room
249,Habits (Stay High),Back To Sleep,Deja Vu,Let Me Go,Talk
250,Wonderland,Best Friend,Love Me Now,Good Old Days,Girl Like You
251,Legend,Home Alone Tonight,Castle On The Hill,Walk It Talk It,Twerk
252,I See You,Out Of The Woods,The Fighter,Broken Halos,Bloodline
253,Post To Be,Make Me Like You,Bom Bidi Bom,Heaven,What Makes You Country
254,Night Changes,You Should Be Here,Despacito,X,Bad Idea
255,Sun Daze,Sugar,Think A Little Less,El Farsante,Pure Water
256,Mean To Me,Backroad Song,Swang,Dura,Fake Smile
257,10 Bands,Get Ugly,Party Monster,Friends,Imagine
258,Ain't Worth The Whiskey,Low Life,Play That Song,Written In The Sand,Take It From Me
259,Just Gettin' Started,Dibs,Used To This,Whatever It Takes,Mixed Personalities
260,Apparently,Drunk On Your Love,Goosebumps,Pick It Up,Lost In The Fire
261,Feeling Myself,Something In The Way You Move,Shining,Narcos,Ghostin
262,I Lived,My Church,No Favors,Most People Are Good,Nothing Breaks Like A Heart
263,Like A Cowboy,Beautiful Drug,Star Of The Show,You Broke Up With Me,This Feeling
264,Talking Body,Jimmy Choo,Seein' Red,Paramedic!,Undecided
265,Homegrown,Break On Me.,Believer,Betrayed,Millionaire
266,Drinking Class,Really Really,Today,Yours,Here Tonight
267,Blessings,Hollow,Guys My Age,The Ways,Calling My Spirit
268,Often,Confession,A Guy With A Girl,Plug Walk,Sixteen
269,Know Yourself,Middle,Call On Me,All On Me,Love Someone
270,Lonely Eyes,We Went,Helium,Tell Me You Love Me,Armed And Dangerous
271,Lay Me Down,Perfect,Fast,La Modelo,Nights Like This
272,Homegrown Honey,Nobody To Blame,Kill A Word,Nowadays,Close Friends
273,Only One,Needed Me,Look At Me!,No Smoke,In My Head
274,Stuck On A Feeling,Confident,In Case You Didn't Know,Hardaway,Put A Date On It
275,Geronimo,Stay A Little Longer,Any Ol' Barstool,Echame La Culpa,Pure Cocaine
276,The Hanging Tree,All I Ask,Heroe Favorito,Singles You Up,Down To The Honkytonk
277,Throw Sum Mo,I Like The Sound Of That,Chantaje,Red Roses,Ella Quiere Beber
278,Say You Do,Snapback,Slippery,When We,Lovely
279,Talladega,Youth,The Weekend,The Long Way,Talk You Out Of It
280,No Tellin',Cheap Thrills,Way Down We Go,Beautiful Trauma,Miss Me More
281,Preach,Acquainted,No Heart,KEKE,Body
282,6 God,Never Forget You,Not Nice,Big Shot,Burn Out
283,Used To,Sorry Not Sorry,Everything 1K,Candy Paint,Eyes On You
284,Take It On Back,Might Be,Everyday,This Is Me,Who Do You Love
285,A Guy Walks Into A Bar,Think Of You,Road Less Traveled,At The Club,365
286,Sledgehammer,Somewhere On A Beach,Rolex,Legends,Worth It
287,What Kind Of Man,Humble And Kind,Cash Me Outside (#CashMeOutside),Notice Me,When The Party's Over
288,Shots,Little Bit Of You,Selfish,Codeine Dreaming,Yosemite
289,Try Me,Good To Be Alive (Hallelujah),Wanna Be That Song,I Like Me Better,Shot Clock
290,The Body,Watch Out,How Far I'll Go,End Game,There Was This Girl
291,What We Ain't Got,Promise,Black,For You (Fifty Shades Freed),Con Calma
292,Little Red Wagon,Bang My Head,It Ain't Me,Get You,On My Way To You
293,Budapest,Irresistible,Yeah Boy,Corazon,Let Me Down Slowly
294,Now & Forever,$ave Dat Money,Sex With Me,Rock,Make Up
295,Slow Motion,History,Hurricane,IDGAF,Make It Sweet
296,6 Man,Do It Like Me,Some Kind Of Drug,Rubbin Off The Paint,Good Girl
297,Not For Long,That Don't Sound Like You,El Amante,One Foot,Arms Around You
298,Glory,I Love This Life,Redbone,Female,Startender
299,Go Hard Or Go Home,Dessert,Scared To Be Lonely,Mayores,One That Got Away
300,Uptown Funk!,Work,Shape Of You,God's Plan,7 Rings
301,Sugar,Love Yourself,That's What I Like,Meant To Be,Wow.
302,Thinking Out Loud,7 Years,Bad And Boujee,Finesse,Sunflower (Spider-Man: Into The Spider-Verse)
303,Love Me Like You Do,Stressed Out,I Don't Wanna Live Forever (Fifty Shades Darker),Psycho,Without Me
304,FourFiveSeconds,My House,I Feel It Coming,Perfect,Please Me
305,Earned It (Fifty Shades Of Grey),Pillowtalk,Tunnel Vision,Look Alive,Happier
306,Style,"Me, Myself & I",Love On The Brain,The Middle,Middle Child
307,Trap Queen,Sorry,Something Just Like This,Freaky Friday,Thotiana
308,Time Of Our Lives,Cake By The Ocean,Paris,Sad!,Sucker
309,G.D.F.R.,Dangerous Woman,iSpy,Havana,Shallow
310,Blank Space,I Took A Pill In Ibiza,Bounce Back,Mine,Eastside
311,Take Me To Church,No,Rockabye,Pray For Me,Going Bad
312,Somebody,Work From Home,Closer,Stir Fry,High Hopes
313,Truffle Butter,One Call Away,No Frauds,Never Be The Same,"Break Up With Your Girlfriend, I'm Bored"
314,Shut Up And Dance,Hands To Myself,Chained To The Rhythm,Walk It Talk It,Old Town Road
315,One Last Time,Hello,Cold,All The Stars,Better
316,Lips Are Movin,Roses,It Ain't Me,Ric Flair Drip,Dancing With A Stranger
317,Lay Me Down,2 Phones,Body Like A Back Road,Plug Walk,Sicko Mode
318,I Don't Mind,Never Forget You,Mask Off,Let You Down,Murder On My Mind
319,Chains,Stitches,Mercy,New Rules,Sweet But Psycho
320,Take Your Time,Don't,Say You Won't Let Go,Rockstar,"Thank U, Next"
321,Ayo,Down In The DM,24K Magic,In My Blood,A Lot
322,I'm Not The Only One,Youth,Down,Whatever It Takes,Girls Like You
323,Shake It Off,Jumpman,Issues,Thunder,Be Alright
324,All About That Bass,The Hills,Scars To Your Beautiful,Him & I,Beautiful Crazy
325,I Want You To Know,Middle,T-Shirt,Wait,Drip Too Hard
326,Want To Want Me,Oui,Stay,Lights Down Low,Close To Me
327,Heartbeat Song,Hotline Bling,Can't Stop The Feeling!,Heaven,Money
328,Centuries,Back To Sleep,Bad Things,I Fall Apart,Better Now
329,Outside,Exchange,Starboy,Friends,You Say
330,Only,Summer Sixteen,Fake Love,King's Dead,Pure Water
331,Post To Be,You Should Be Here,Congratulations,Feel It Still,Youngblood
332,Blessings,Panda,Swang,Say Something,Baby Shark
333,I Don't F**k With You,When We Were Young,Rolex,You Make It Easy,MIA
334,Animals,Low Life,Location,Marry Me,Look Back At It
335,She Knows,What Do You Mean?,Don't Wanna Know,Lemon,Envy Me
336,Stay With Me,Say It,Dirt On My Boots,Bad At Love,Robbery
337,Jealous,Let It Go,Million Reasons,Powerglide,ZEZE
338,Talking Body,Here,Green Light,Changes,Tequila
339,Riptide,679,Black Beatles,Outside Today,Talk
340,Homegrown,Hide Away,Let Me Love You,No Limit,Bury A Friend
341,11-Jul,Came Here To Forget,Believer,New Freezer,Mixed Personalities
342,Ain't Worth The Whiskey,Die A Happy Man,Water Under The Bridge,Love.,Act Up
343,Prayer In C,Drunk On Your Love,Party,Wolves,Swervin
344,Night Changes,Same Old Love,Heathens,MotorSport,I Like It
345,Chandelier,Like I'm Gonna Lose You,How Far I'll Go,Most People Are Good,Put A Date On It
346,Dear Future Husband,In The Night,Make Me (Cry),Bartier Cardi,Lucid Dreams
347,Elastic Heart,Ex's & Oh's,Slide,Moonlight,Taki Taki
348,No Type,White Iverson,Caroline,Love Lies,Con Calma
349,Lonely Eyes,Can't Feel My Face,Goosebumps,Singles You Up,Twerk
350,Throw Sum Mo,Sugar,Both,X,Here Tonight
351,Energy,Beautiful Drug,Castle On The Hill,Delicate,Who Do You Love
352,All Day,My Church,Despacito,Dura,Here With Me
353,I Bet My Life,Don't Let Me Down,Think A Little Less,IDGAF,Eyes On You
354,Homegrown Honey,Like I Would,Everyday,No Excuses,Worth It
355,"Honey, I'm Good.",Heartbeat,Redbone,Gummo,Bad Liar
356,Know Yourself,Best Friend,Deja Vu,Billy,Close Friends
357,Slow Motion,Humble And Kind,Play That Song,Broken Halos,Girls Need Love
358,Geronimo,Somewhere On A Beach,Selfish,Tell Me You Love Me,Good As You
359,I Bet,Confession,Perfect,Say Amen (Saturday Night),Miss Me More
360,King Kunta,Stand By You,Regret In Your Tears,Hardaway,Undrunk
361,Budapest,Really Really,Better Man,All On Me,Shot Clock
362,Legend,Try Everything,Galway Girl,El Farsante,Walk Me Home
363,CoCo,Snapback,Fast,Lost In Japan,Millionaire
364,Say You Do,Adventure Of A Lifetime,Look At Me!,Zombie,Down To The Honkytonk
365,The Blacker The Berry,Wild Things,Hurricane,Top Off,Whiskey Glasses
366,Believe,I Like The Sound Of That,Shining,Everyday,One That Got Away
367,Mean To Me,Think Of You,In Case You Didn't Know,The Long Way,This Is It
368,Watch Me,New Romantics,Heavy,Red Roses,Look What God Gave Her
369,Just Gettin' Started,Piece By Piece,Any Ol' Barstool,Japan,Pure Cocaine
370,Feeling Myself,Needed Me,Changed It,Pick It Up,There Was This Girl
